"page_id","wikitext_length_bytes","template_count","image_count","reference_count","heading_count","internal_link_count","external_link_count","category_count","table_tag_count","paragraph_tag_count","rendered_html_length_bytes","render_expansion_ratio","html_tag_count","avg_response_time","is_slow"
1155037,20938,195,0,0,5,94,0,0,0,6,10563,0.5044894450281784,780,63.38666666666667,0
1155041,17819,172,0,0,4,83,0,0,0,5,9988,0.5605252820023571,688,65.31666666666666,0
1155043,65322,638,0,0,4,316,0,0,0,4,27364,0.41890940265148036,2552,202.83333333333334,1
1155044,92494,879,0,0,3,437,0,0,0,3,37899,0.4097454970052111,3514,563.76,1
1155046,86873,828,0,0,6,410,0,0,0,7,35789,0.4119691964131548,3312,311.3566666666667,1
1155061,1371,8,0,0,1,28,0,10,0,4,1772,1.2924872355944566,102,5.17,0
1155062,1163,3,0,0,2,4,0,2,0,7,1132,0.9733447979363714,68,16.023333333333333,0
1155116,55231,110,0,1,30,772,1,3,7,44,54614,0.9888287374843838,5968,673.87,1
1155129,21122,6,50,0,2,223,1,1,1,3,32766,1.5512735536407538,3960,262.6666666666667,1
1155147,6291,25,7,11,6,44,8,3,0,12,4978,0.7912891432204737,276,9.753333333333334,0
1155176,2929,8,0,11,5,13,3,2,0,10,2160,0.7374530556503927,96,6.87,0
