page_id,run_number,response_time_ms,status_code,success,error
4546,2,311.11,200,1,
4546,3,300.7,200,1,
4624,1,207.65,200,1,
4624,2,277.69,200,1,
4624,3,206.7,200,1,
4654,1,35.16,200,1,
4654,2,75.81,200,1,
4654,3,31.94,200,1,
4666,1,66.52,200,1,
4666,2,21.08,200,1,
4666,3,19.17,200,1,
4809,1,865.78,200,1,
4809,2,480.01,200,1,
4809,3,411.73,200,1,
4810,1,432.58,200,1,
4810,2,490.53,200,1,
4810,3,589.96,200,1,
4812,1,710.12,200,1,
4812,2,693.99,200,1,
4812,3,702.04,200,1,
4904,1,5.83,200,1,
4904,2,5.66,200,1,
4904,3,5.18,200,1,
4914,1,7.8,200,1,
4914,2,6.92,200,1,
4914,3,34.61,200,1,
4931,1,49.63,200,1,
4931,2,164.41,200,1,
4931,3,99.19,200,1,
5071,1,116.21,200,1,
5071,2,116.1,200,1,
5071,3,167.2,200,1,
5075,1,26.11,200,1,
5075,2,81.6,200,1,
5075,3,22.81,200,1,
5085,1,4.36,200,1,
5085,2,4.2,200,1,
5085,3,4.32,200,1,
5103,1,86.07,200,1,
5103,2,106.17,200,1,
5103,3,159.64,200,1,
5131,1,112.63,200,1,
5131,2,98.64,200,1,
5131,3,116.51,200,1,
5132,1,110.65,200,1,
5132,2,160.03,200,1,
5132,3,110.86,200,1,
5147,1,6.88,200,1,
5147,2,5.16,200,1,
5147,3,7.49,200,1,
5148,1,192.42,200,1,
5148,2,115.52,200,1,
5148,3,157.61,200,1,
5151,1,105.96,200,1,
5151,2,131.87,200,1,
5151,3,100.8,200,1,
5152,1,106.62,200,1,
5152,2,151.76,200,1,
5152,3,116.4,200,1,
5156,1,107.44,200,1,
5156,2,97.09,200,1,
5156,3,98.09,200,1,
5157,1,184.76,200,1,
5157,2,96.06,200,1,
5157,3,99.4,200,1,
5159,1,10.16,200,1,
5159,2,12.94,200,1,
5159,3,12.4,200,1,
5166,1,98.39,200,1,
5166,2,298.61,200,1,
5166,3,266.47,200,1,
5167,1,114.45,200,1,
5167,2,219.04,200,1,
5167,3,104.02,200,1,
5290,1,264.83,200,1,
5290,2,200.87,200,1,
5290,3,323.36,200,1,
5324,1,382.05,200,1,
5324,2,309.0,200,1,
5324,3,304.51,200,1,
5403,1,74.58,200,1,
5403,2,29.06,200,1,
5403,3,75.47,200,1,
5411,1,100.25,200,1,
5411,2,47.33,200,1,
5411,3,168.1,200,1,
5415,1,96.63,200,1,
5415,2,99.91,200,1,
5415,3,105.82,200,1,
